产品,客户,第 1 季度,第 2 季度,第 3 季度,第 4 季度
蒙古大草原绿色羊肉,ANTON, ￥-   , ￥702.00 , ￥-   , ￥-   
蒙古大草原绿色羊肉,BERGS, ￥312.00 , ￥-   , ￥-   , ￥-   
蒙古大草原绿色羊肉,BOLID, ￥-   , ￥-   , ￥-   ," ￥1,170.00 "
蒙古大草原绿色羊肉,BOTTM," ￥1,170.00 ", ￥-   , ￥-   , ￥-   
蒙古大草原绿色羊肉,ERNSH," ￥1,123.20 ", ￥-   , ￥-   ," ￥2,607.15 "
蒙古大草原绿色羊肉,GODOS, ￥-   , ￥280.80 , ￥-   , ￥-   
蒙古大草原绿色羊肉,HUNGC, ￥62.40 , ￥-   , ￥-   , ￥-   
蒙古大草原绿色羊肉,PICCO, ￥-   ," ￥1,560.00 ", ￥936.00 , ￥-   
蒙古大草原绿色羊肉,RATTC, ￥-   , ￥592.80 , ￥-   , ￥-   
蒙古大草原绿色羊肉,REGGC, ￥-   , ￥-   , ￥-   , ￥741.00 
蒙古大草原绿色羊肉,SAVEA, ￥-   , ￥-   ," ￥3,900.00 ", ￥789.75 
蒙古大草原绿色羊肉,SEVES, ￥-   , ￥877.50 , ￥-   , ￥-   
蒙古大草原绿色羊肉,WHITC, ￥-   , ￥-   , ￥-   , ￥780.00 
大茴香籽调味汁,ALFKI, ￥-   , ￥-   , ￥-   , ￥60.00 
大茴香籽调味汁,BOTTM, ￥-   , ￥-   , ￥-   , ￥200.00 
大茴香籽调味汁,ERNSH, ￥-   , ￥-   , ￥-   , ￥180.00 
大茴香籽调味汁,LINOD, ￥544.00 , ￥-   , ￥-   , ￥-   
大茴香籽调味汁,QUICK, ￥-   , ￥600.00 , ￥-   , ￥-   
大茴香籽调味汁,VAFFE, ￥-   , ￥-   , ￥140.00 , ￥-   
上海大闸蟹,ANTON, ￥-   , ￥165.60 , ￥-   , ￥-   
上海大闸蟹,BERGS, ￥-   , ￥920.00 , ￥-   , ￥-   
上海大闸蟹,BONAP, ￥-   , ￥248.40 , ￥524.40 , ￥-   
上海大闸蟹,BOTTM, ￥551.25 , ￥-   , ￥-   , ￥-   
上海大闸蟹,BSBEV, ￥147.00 , ￥-   , ￥-   , ￥-   
上海大闸蟹,FRANS, ￥-   , ￥-   , ￥-   , ￥18.40 
上海大闸蟹,HILAA, ￥-   , ￥92.00 ," ￥1,104.00 ", ￥-   
上海大闸蟹,LAZYK, ￥147.00 , ￥-   , ￥-   , ￥-   
上海大闸蟹,LEHMS, ￥-   , ￥515.20 , ￥-   , ￥-   
上海大闸蟹,MAGAA, ￥-   , ￥-   , ￥-   , ￥55.20 
上海大闸蟹,OTTIK, ￥-   , ￥-   , ￥368.00 , ￥-   
上海大闸蟹,PERIC, ￥308.70 , ￥-   , ￥-   , ￥-   
上海大闸蟹,QUEEN, ￥26.46 , ￥-   , ￥419.52 , ￥110.40 
上海大闸蟹,QUICK, ￥-   , ￥-   ," ￥1,223.60 ", ￥-   
上海大闸蟹,RANCH, ￥294.00 , ￥-   , ￥-   , ￥-   
上海大闸蟹,SAVEA, ￥-   , ￥-   , ￥772.80 , ￥736.00 
上海大闸蟹,TRAIH, ￥-   , ￥36.80 , ￥-   , ￥-   
上海大闸蟹,VAFFE, ￥294.00 , ￥-   , ￥-   , ￥736.00 
法国卡门贝干酪,ANATR, ￥-   , ￥-   , ￥340.00 , ￥-   
法国卡门贝干酪,AROUT, ￥-   , ￥-   , ￥-   , ￥510.00 
法国卡门贝干酪,BERGS, ￥-   , ￥-   , ￥680.00 , ￥-   
法国卡门贝干酪,BOTTM, ￥-   , ￥-   , ￥-   ," ￥1,700.00 "
法国卡门贝干酪,CHOPS, ￥-   , ￥323.00 , ￥-   , ￥-   
法国卡门贝干酪,FAMIA, ￥-   , ￥346.80 , ￥-   , ￥-   
法国卡门贝干酪,FRANK, ￥-   , ￥-   , ￥612.00 , ￥-   
法国卡门贝干酪,FURIB, ￥544.00 , ￥-   , ￥-   , ￥-   
法国卡门贝干酪,GOURL, ￥-   , ￥-   , ￥-   , ￥340.00 
法国卡门贝干酪,LEHMS, ￥-   , ￥892.50 , ￥-   , ￥-   
法国卡门贝干酪,MEREP, ￥-   , ￥-   ," ￥2,261.00 ", ￥-   
法国卡门贝干酪,OTTIK, ￥-   , ￥-   ," ￥1,020.00 ", ￥-   
法国卡门贝干酪,QUEEN, ￥-   , ￥-   , ￥-   , ￥510.00 
法国卡门贝干酪,QUICK, ￥-   ," ￥2,427.60 "," ￥1,776.50 ", ￥-   
法国卡门贝干酪,RICAR," ￥1,088.00 ", ￥-   , ￥-   , ￥-   
法国卡门贝干酪,RICSU," ￥1,550.40 ", ￥-   , ￥-   , ￥-   
法国卡门贝干酪,SAVEA, ￥-   , ￥-   ," ￥2,380.00 ", ￥-   
法国卡门贝干酪,WARTH, ￥-   , ￥693.60 , ￥-   , ￥-   
法国卡门贝干酪,WOLZA, ￥-   , ￥-   , ￥510.00 , ￥-   
王大义十三香,BERGS, ￥-   , ￥-   , ￥237.60 , ￥-   
王大义十三香,BONAP, ￥-   , ￥935.00 , ￥-   , ￥-   
王大义十三香,EASTC, ￥-   , ￥-   , ￥-   , ￥550.00 
王大义十三香,FOLKO, ￥-   ," ￥1,045.00 ", ￥-   , ￥-   
王大义十三香,FURIB, ￥225.28 , ￥-   , ￥-   , ￥-   
王大义十三香,MAGAA, ￥-   , ￥-   , ￥198.00 , ￥-   
王大义十三香,QUEEN, ￥-   , ￥-   , ￥-   , ￥132.00 
王大义十三香,QUICK, ￥-   , ￥990.00 , ￥-   , ￥-   
王大义十三香,TRADH, ￥-   , ￥-   , ￥352.00 , ￥-   
王大义十三香,WARTH, ￥-   , ￥-   , ￥550.00 , ￥-   
秋葵汤,MAGAA, ￥-   , ￥-   , ￥288.22 , ￥-   
秋葵汤,THEBI, ￥-   , ￥-   , ￥-   , ￥85.40 
混沌皮,AROUT, ￥-   , ￥210.00 , ￥-   , ￥56.00 
混沌皮,BERGS, ￥-   , ￥-   , ￥-   , ￥175.00 
混沌皮,BLONP, ￥112.00 , ￥-   , ￥-   , ￥-   
混沌皮,DUMON, ￥-   , ￥-   , ￥63.00 , ￥-   
混沌皮,FAMIA, ￥-   , ￥-   , ￥-   , ￥28.00 
混沌皮,LAUGB, ￥-   , ￥-   , ￥35.00 , ￥-   
混沌皮,NORTS, ￥-   , ￥42.00 , ￥-   , ￥-   
混沌皮,OLDWO, ￥-   , ￥-   , ￥168.00 , ￥-   
混沌皮,REGGC, ￥-   , ￥-   , ￥23.80 , ￥-   
混沌皮,RICAR, ￥-   , ￥490.00 , ￥-   , ￥-   
混沌皮,RICSU, ￥-   , ￥-   , ￥-   , ￥420.00 
混沌皮,TOMSP, ￥75.60 , ￥-   , ￥-   , ￥-   
混沌皮,VAFFE, ￥-   , ￥-   , ￥-   , ￥99.75 
混沌皮,VINET, ￥-   , ￥-   , ￥-   , ￥126.00 
意大利羊乳干酪,AROUT, ￥-   , ￥-   , ￥-   , ￥625.00 
意大利羊乳干酪,BLONP, ￥-   , ￥593.75 , ￥-   , ￥-   
意大利羊乳干酪,BONAP, ￥-   , ￥-   , ￥-   , ￥35.62 
意大利羊乳干酪,CACTU, ￥-   , ￥-   , ￥-   , ￥12.50 
意大利羊乳干酪,ERNSH, ￥-   , ￥-   , ￥-   , ￥890.00 
意大利羊乳干酪,FOLKO, ￥-   , ￥-   , ￥-   , ￥18.75 
意大利羊乳干酪,GOURL, ￥140.00 , ￥-   , ￥-   , ￥-   
意大利羊乳干酪,HANAR, ￥-   , ￥-   , ￥-   , ￥125.00 
意大利羊乳干酪,HILAA, ￥-   , ￥-   , ￥-   , ￥250.00 
意大利羊乳干酪,HUNGO, ￥-   , ￥600.00 , ￥-   , ￥-   
意大利羊乳干酪,LEHMS, ￥-   , ￥250.00 , ￥-   , ￥-   
意大利羊乳干酪,OLDWO, ￥-   , ￥-   , ￥187.50 , ￥-   
意大利羊乳干酪,PICCO, ￥-   , ￥-   , ￥-   , ￥100.00 
意大利羊乳干酪,QUEEN, ￥-   , ￥-   , ￥237.50 , ￥-   
意大利羊乳干酪,QUICK, ￥-   , ￥584.37 , ￥-   , ￥-   
意大利羊乳干酪,RATTC, ￥-   , ￥421.25 , ￥-   , ￥-   
意大利羊乳干酪,RICSU, ￥-   , ￥375.00 , ￥-   , ￥-   
意大利羊乳干酪,SAVEA, ￥-   , ￥-   , ￥-   , ￥625.00 
意大利羊乳干酪,SUPRD, ￥297.50 , ￥-   , ￥-   , ￥-   
意大利羊乳干酪,TOMSP, ￥27.00 , ￥-   , ￥-   , ￥-   
意大利羊乳干酪,TORTU, ￥-   , ￥250.00 , ￥-   , ￥-   
意大利羊乳干酪,TRADH, ￥-   , ￥190.00 , ￥-   , ￥-   
意大利羊乳干酪,WANDK, ￥-   , ￥-   , ￥90.00 , ￥-   
意大利羊乳干酪,WARTH, ￥-   , ￥375.00 , ￥-   , ￥-   
老奶奶波森梅奶油,GOURL, ￥-   , ￥-   , ￥-   , ￥750.00 
老奶奶波森梅奶油,MEREP, ￥-   , ￥-   ," ￥1,750.00 ", ￥-   
怡保咖啡,ANTON, ￥-   , ￥586.50 , ￥-   , ￥-   
怡保咖啡,BERGS, ￥-   ," ￥2,760.00 ", ￥-   , ￥-   
怡保咖啡,FURIB, ￥110.40 , ￥-   , ￥-   , ￥-   
怡保咖啡,KOENE, ￥552.00 , ￥-   , ￥-   , ￥-   
怡保咖啡,MAISD, ￥-   , ￥-   , ￥-   ," ￥1,035.00 "
怡保咖啡,OLDWO, ￥-   , ￥-   , ￥-   ," ￥1,104.00 "
怡保咖啡,PICCO, ￥-   ," ￥1,150.00 ", ￥-   , ￥-   
怡保咖啡,QUICK, ￥-   , ￥-   , ￥-   ," ￥1,840.00 "
怡保咖啡,SUPRD, ￥736.00 , ￥-   , ￥-   , ￥-   
怡保咖啡,WELLI, ￥-   , ￥-   , ￥920.00 , ￥-   
怡保咖啡,WILMK, ￥-   , ￥-   , ￥276.00 , ￥-   
新英格兰杰克杂烩,AROUT, ￥-   , ￥-   , ￥-   , ￥135.10 
新英格兰杰克杂烩,BERGS, ￥231.00 , ￥-   , ￥-   , ￥96.50 
新英格兰杰克杂烩,BLONP, ￥-   , ￥110.01 , ￥-   , ￥-   
新英格兰杰克杂烩,BOTTM, ￥154.00 , ￥-   , ￥-   , ￥-   
新英格兰杰克杂烩,CACTU, ￥-   , ￥96.50 , ￥-   , ￥-   
新英格兰杰克杂烩,FAMIA, ￥-   , ￥-   , ￥-   , ￥115.80 
新英格兰杰克杂烩,FRANK, ￥-   , ￥-   , ￥-   , ￥183.35 
新英格兰杰克杂烩,GOURL, ￥-   , ￥-   , ￥38.60 , ￥-   
